FACIL,REC$TYPE,PROVINCE,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
1183,A,93,Health hut,Government/public,Rural,No,411594,Health Center,Public,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.0909090909090909,5,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,8,12,0,26,26
1184,A,93,Health post,NGO/ Private not for profit,Rural,No,168449,Hospital,Private/NGO,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Yes,Yes,.454545454545455,6,1,0,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No, ,Yes,28,11,0,55,55
1185,A,93,Health hut,Government/public,Rural,No,411594,Health Center,Public,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,Yes,.272727272727273,6,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,8,9,0,30,30
1186,A,93,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No, ,No,No,Yes,No,No, ,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,Yes,No,No, ,Yes, , ,25,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No, ,Yes,42,32,0,76,76
1187,A,93,5,Government/public,Rural,No,1793006,Health Center,Public,Yes,No,No,No,Yes,Yes,No,No, ,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,No, ,5,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,4,6,0,8,8
1188,A,93,Health centre,Government/public,9,9,0,Hospital,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1189,A,93,5,Government/public,Rural,No,1793006,Health Center,Public,No,No,No,No,Yes,Yes,No,No, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No, ,3,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,2,8,0,15,15
1190,A,93,Health hut,Government/public,Rural,No,411594,Health Center,Public,No,No,No,No,Yes,Yes,No,No, ,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,Yes,No,No, ,Yes,No, ,5,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,3,7,0,25,25
1191,A,93,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,No,No,Yes,Yes,No,Yes, ,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes, ,Yes,Yes, ,21,5,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,26,36,0,75,75
1192,A,44,Health centre,Private for profit,Rural,Yes,116618,Hospital,Private/NGO,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No, ,Yes,No,.545454545454545,27,1,3,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,Yes,Yes,Yes,85,42,1,275,275
1193,A,44,5,Government/public,Rural,Yes,1649316,Health Center,Public,Yes,No,Yes,No,Yes,Yes,No,No,No, ,No,Yes,No,No,No,No,No,Yes,No,No, , ,No,No,No,No,No, ,No,No, ,3,0,0,0,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No, ,No, , ,Yes,2,3,0,11,11
1194,A,44,5,Government/public,Rural,Yes,1649316,Health Center,Public,No,No,No,No,Yes,Yes,No,No, ,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No, ,3,0,0,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,Yes,4,4,2,7,7
1195,A,44,Health centre,Government/public,Rural,Yes,116618,Hospital,Public,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.363636363636364,17,1,0,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,60,39,1,135,135
1196,A,44,Health hut,Government/public,Rural,Yes,1649316,Health Center,Public,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , ,No,No,No,No,No, ,No,No,.272727272727273,3,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,1,6,0,7,7
1197,A,44,5,Government/public,Rural,Yes,1649316,Health Center,Public,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.272727272727273,1,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No, ,Yes,1,5,0,412,412
1198,A,44,Health centre,Government/public,Rural,Yes,116618,Hospital,Public,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No,.181818181818182,15,1,0,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,No, ,Yes,48,24,0,141,141
1199,A,44,5,4,Rural,Yes,1649316,Health Center,Private/NGO,Yes,No,No,No,Yes,Yes,Yes,No, ,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No, ,3,0,0,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,15,8,0,25,25
1200,A,44,5,Government/public,Rural,Yes,1649316,Health Center,Public,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,No,.272727272727273,2,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,2,4,0,197,197
1201,A,44,Health centre,Government/public,Rural,Yes,116618,Hospital,Public,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No,.363636363636364,16,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,67,31,0,253,253
1202,A,44,5,Government/public,Rural,No,1649316,Health Center,Public,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No, , ,No,No,No,No,No,Yes,Yes,No,.363636363636364,2,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,8,7,0, , 
1203,A,44,5,Government/public,Rural,Yes,1649316,Health Center,Public,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.545454545454545,1,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,Yes,3,4,0,12,12
1204,A,44,Health centre,NGO/ Private not for profit,Rural,Yes,116618,Hospital,Private/NGO,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,Yes,.727272727272727,21,1,1,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,Yes,Yes,Yes,100,50,1,125,125
1205,A,44,Health centre,Government/public,Urban,Yes,116618,Hospital,Public,Yes,No,No,No,Yes,Yes,No,No, ,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Yes,Yes, ,71,11,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,61,116,1,88,88
1206,A,44,5,Government/public,Urban,No,1649316,Health Center,Public,Yes,No,No,No,Yes,Yes,No,No, ,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,Yes,Yes, ,6,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,6,7,0, , 
1207,A,44,Health centre,4,Urban,Yes,116618,Hospital,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,Yes, ,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No, ,Yes,Yes, ,27,2,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,Yes,Yes,60,42,0,142,142
1208,A,44,Health hut,4,Urban,Yes,116618,Health Center,Private/NGO,Yes,No,No,No,Yes,No,No,Yes, ,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,Yes,No, ,12,2,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,37,19,0,18,18
1209,A,44,Health post,Private for profit,Urban,Yes,1649316,Hospital,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,Yes,Yes,.454545454545455,9,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,Yes,No, ,Yes,23,11,1,17,17
1210,A,44,Health hut,Government/public,Rural,Yes,1649316,Health Center,Public,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.363636363636364,5,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,Yes,6,6,1,39,39
1211,A,44,Health hut,4,Rural,Yes,116618,Health Center,Private/NGO,Yes,No,Yes,No,Yes,No,No,No, ,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No, ,5,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,50,11,0,9998,9998
1212,A,44,Health centre,Government/public,Urban,Yes,116618,Hospital,Public,Yes,No,Yes,No,Yes,Yes,No,Yes, ,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Yes,Yes, ,85,16,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,Yes,Yes,Yes,122,141,2,468,468
1213,A,44,5,Government/public,Rural,No,1649316,Health Center,Public,Yes,Yes, ,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No, ,No,No,No,No,No,No,Yes,No,No,.181818181818182,1,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,6,2,0, , 
1214,A,44,Health hut,4,Urban,Yes,116618,Health Center,Private/NGO,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,No,.272727272727273,4,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No, ,Yes,12,5,0,17,17
1215,A,44,5,Government/public,Rural,No,116618,Health Center,Public,No,Yes,Yes,Yes,Yes,No,Yes,No, ,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No,Yes,Yes,Yes, ,4,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,6,5,0, , 
1216,A,44,5,Government/public,Rural,No,1649316,Health Center,Public,No,Yes,Yes,No,Yes,No,Yes,No, ,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,Yes,No, ,4,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,10,5,0, , 
1217,A,44,Health centre,Government/public,Rural,Yes,116618,Hospital,Public,No,No,Yes,No,Yes,No,No,No, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes, ,Yes,Yes, ,23,4,0,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No, ,Yes,74,39,1,243,243
1218,A,44,5,4,Rural,Yes,1649316,Health Center,Private/NGO,Yes,Yes, ,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.272727272727273,3,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,Yes,No, ,Yes,2,5,0,2,2
1219,A,44,Health centre,4,Rural,Yes,116618,Hospital,Private/NGO,Yes,No,No,No,Yes,No,No,Yes, ,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Yes, , ,29,3,1,0,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,92,53,0,98,98
1220,A,44,5,Government/public,Rural,Yes,1649316,Health Center,Public,No,Yes, ,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,No,.454545454545455,2,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,3,5,0,212,212
1221,A,44,5,Government/public,Rural,No,1649316,Health Center,Public,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,Yes,No,.454545454545455,4,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,5,5,2, , 
1222,A,44,Health hut,Government/public,Rural,Yes,116618,Health Center,Public,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,Yes, ,5,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,10,6,1,8,8
1223,A,44,Health centre,Government/public,Rural,Yes,116618,Hospital,Public,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No,.272727272727273,16,1,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,No, ,Yes,25,25,1,45,45
1224,A,44,5,Government/public,Rural,No,1649316,Health Center,Public,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No,.0909090909090909,3,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No, ,4,0, , 
1225,A,44,5,Government/public,Rural,Yes,1649316,Health Center,Public,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No, ,No,No,.363636363636364,2,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,Yes,10,4,0,10,10
1226,A,44,Health hut,4,Rural,Yes,116618,Health Center,Private/NGO,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No,.363636363636364,7,0,0,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,13,17,3,101,101
1227,A,44,Health hut,4,Rural,Yes,116618,Health Center,Private/NGO,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.545454545454545,8,1,1,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,Yes,50,14,0,31,31
1228,A,44,5,Government/public,Rural,No,1649316,Health Center,Public,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,No,No,.272727272727273,2,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,10,3,0, , 
1229,A,44,Health centre,4,Rural,Yes,116618,Hospital,Private/NGO,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.363636363636364,11,2,0,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,No, ,Yes,40,25,1,97,97
1230,A,44,5,Government/public,Rural,No,1649316,Health Center,Public,No,No,No,No,Yes,No,No,No, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,Yes,Yes, ,2,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,10,5,1, , 
1231,A,44,5,Government/public,Rural,No,1649316,Health Center,Public,Yes,No, ,No,Yes,Yes,Yes,No, ,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No, ,No,No,No,No,No,No,Yes,Yes,No, ,4,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,6,5,0, , 
1232,A,44,Health centre,Government/public,Rural,Yes,116618,Hospital,Public,No,No,No,No,Yes,Yes,No,No, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,Yes,No, ,11,1,1,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,50,21,1,72,72
1233,A,61,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes, ,Yes,No,.636363636363636,18,1,4,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,38,35,1,136,136
1234,A,61,Health hut,Government/public,Rural,No,553937,Health Center,Public,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No, ,Yes,No,.545454545454545,8,3,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,27,27,0,48,48
1235,A,61,5,Government/public,Rural,No,3901412,Health Center,Public,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,No,No,No,No,No, ,Yes,No,.454545454545455,5,0,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,12,10,0,138,138
1236,A,61,Health hut,4,Rural,No,116618,Health Center,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,Yes,.545454545454545,11,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50,21,0,164,164
1237,A,61,5,Government/public,Urban,No,3901412,Health Center,Public,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,No,.363636363636364,8,0,1,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,12,12,0,206,206
1238,A,61,Health centre,Government/public,Urban,No,116618,Hospital,Public,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.545454545454545,83,3,8,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,150,133,0,310,310
1239,A,61,Health post,4,Urban,No,305429,Hospital,Private/NGO,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,Yes,No,Yes, ,Yes,Yes,.454545454545455,17,1,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38,29,0,65,65
1240,A,61,Health hut,4,Rural,No,553937,Health Center,Private/NGO,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes, ,Yes,No,.727272727272727,10,0,2,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34,21,0,82,82
1241,A,61,Health centre,4,Rural,No,116618,Hospital,Private/NGO,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes, ,Yes,No,.636363636363636,29,4,4,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,60,55,1,350,350
